id;name;description;code
1;Supervisor Berkshire;azure;Global
2;knowledge haptic Bike;turn-key silver;Buckinghamshire Loan
3;navigate Bedfordshire;portal Sausages;UAE Delaware
4;Shirt;purple back;Pizza District intermediate
5;Garden;hub SSL Quality;Shirt out-of-the-box Triple-buffered
6;Salad Chips;generating IB;Loan Path
7;invoice synthesizing repurpose;RSS;impactful context-sensitive
8;directional applications;budgetary withdrawal Computers;Wisconsin
9;Loan Skyway;Distributed payment driver;conglomeration Gibraltar
10;system Inlet Towels;Savings;hacking
