id;voucher_no;amount;date_created;tag;customer_id;added_by
1;Car Corporate integrated;27309;2019-10-23T07:48:02;VAT;36046;Account Chips District
2;Mission Pizza Loan;46108;2019-10-23T00:50:24;RECEIVE;96811;Concrete
3;synergize Licensed plum;1851;2019-10-22T22:41:25;REFUND;50811;Executive 24/365
4;monitor payment Tuna;43194;2019-10-22T13:14:21;RECEIVE;1470;Colon
5;programming bypass revolutionary;36603;2019-10-22T19:26:23;REFUND;58032;Serbia Avon
6;Franc Re-engineered withdrawal;49340;2019-10-23T00:17:30;RECEIVE;54302;Profit-focused RAM
7;Toys;76894;2019-10-23T06:18:12;REFUND;10581;Multi-channelled
8;set;54367;2019-10-23T01:11:57;RECEIVE;36048;sticky Plastic dynamic
9;transitional Hat;67870;2019-10-22T20:20:41;VAT;24193;Account
10;compressing;94094;2019-10-23T03:37:02;REFUND;98153;holistic
