id;voucher_no;customer_id;calculated_total_amount;vat;disount_amount;status;total_payable_amount;date_created;added_by;box_number;delivery_date;delivery_status
1;Bacon Designer;51663;52965;26082;24185;CANCEL;63310;2026-06-09T03:29:07;even-keeled Saint Helena Pound;Internal AI optical;2026-06-08T16:36:21;true
2;Marketing;78534;89855;66898;60642;DUE;66350;2026-06-08T08:38:48;clear-thinking;Latvia;2026-06-08T15:24:32;false
3;Manager Fish;1807;23724;49389;32539;CANCEL;64963;2026-06-08T14:09:16;alarm local area network Benin;turn-key dedicated;2026-06-09T02:09:31;true
4;Coordinator Cambridgeshire Investor;43439;79481;35007;50263;PAID;19524;2026-06-09T02:29:24;Bedfordshire Alaska calculate;Chips;2026-06-08T09:26:37;false
5;uniform PCI back up;95307;92831;33075;42818;DUE;85300;2026-06-09T06:12:22;functionalities;compressing;2026-06-09T00:24:30;false
6;mesh;39469;93615;84421;69602;DUE;99005;2026-06-08T23:24:25;Open-architected;FTP;2026-06-08T14:14:10;true
7;Metal array France;29651;80936;41978;81011;DUE;91324;2026-06-09T06:03:22;Beauty Auto Loan Account;deposit;2026-06-08T15:10:02;false
8;Unbranded Fresh Pants Tools California;43847;57828;67202;3594;DUE;54264;2026-06-08T08:27:01;generating;Computers Small Fresh Gloves back-end;2026-06-09T04:57:54;false
9;synthesizing composite;96525;62289;45726;8534;CANCEL;72609;2026-06-09T04:49:42;Analyst card Licensed Cotton Ball;mindshare Gorgeous;2026-06-09T07:24:21;false
10;Refined infomediaries Som;5819;17329;91521;15643;CANCEL;71459;2026-06-09T03:37:32;Response invoice;alarm Jamaica;2026-06-08T17:19:59;true
